id,wordEn,pos,cefrLevel,fromOxford,rank,frequency,difficultyScore,phoneticUs,phoneticUk,phoneticAr,translit,syllabify,definitionEn,definitionAr,usageNote,category,primarySense,semanticTags,register,mnemonicAr,examples,collocations,synonyms,antonyms,relatedWords,wordFamily,arabicAr,frenchFr,germanDe,spanishEs,chineseZh,russianRu,portuguesePt,japaneseJa,italianIt,turkishTr,unitId,stratum,in_ielts
3473,dialogue,noun,A1,1,3473,4,5,ˈdaɪ.ə.lɑːɡ,ˈdaɪ.ə.lɒɡ,دَايَلُوج,Ḥiwār,di•a•logue,"Conversation between two or more people as a feature of a book, play, or movie.",الحوار أو الكلام اللي بيدور بين شخصين أو أكتر، سواء في الحقيقة أو في فيلم.,"Spelled 'dialog' in US English sometimes, but 'dialogue' is standard.",Social Life & Communication,Communication,"[""#Conversation"", ""#Movie"", ""#Book"", ""#Talk""]",Neutral,الفيلم كان حلو بس الـ 'Dialogue' بين الممثلين كان ضعيف.,"{""A1"": ""They had a dialogue."", ""A2"": ""Read the dialogue in the book."", ""B1"": ""The movie has funny dialogue."", ""B2"": ""We need constructive dialogue to solve this."", ""C1"": ""The two countries opened a strategic dialogue."", ""C2"": ""The novel is famous for its realistic and witty dialogue.""}","[""open a dialogue"", ""constructive dialogue"", ""political dialogue"", ""dialogue box""]","[""conversation"", ""discussion"", ""talk"", ""chat""]","[""monologue""]","{""en"": [""speak"", ""discuss"", ""conversation"", ""script""], ""ar"": [""يتحدث"", ""يناقش"", ""محادثة"", ""نص""]}","{""noun"":""dialogue"",""verb"":""dialogue""}",حِوَار,dialogue,Dialog,diálogo,对话 (Duìhuà),диалог,diálogo,対話 (Taiwa),dialogo,diyalog,A1_17,CEFR_A1,False
718,list,noun,A1,1,718,3,3,lɪst,,لِسْت,Qā'ima,,"A series of names, numbers, or items written one below the other.",مجموعة أسماء أو طلبات مكتوبة تحت بعضها عشان تفتكرها أو تنظمها.,"Commonly used with verbs like 'make', 'write', or 'check'.",Social Life & Communication,Object,"[""#Organization"", ""#Writing"", ""#Planning"", ""#Data""]",Neutral,كلمة 'List' قريبة من كلمة 'لِسْتة' اللي بنستخدمها في العامية.. أعمل 'List' عشان ما تنساش.,"{""A1"": ""I have a long shopping list."", ""A2"": ""Please add my name to the list."", ""B1"": ""Make a list of everything you need for the trip."", ""B2"": ""The company is high on the list of potential investors."", ""C1"": ""His name was scrubbed from the active duty list."", ""C2"": ""The catalog contains a comprehensive list of rare manuscripts.""}","[""shopping list"", ""to-do list"", ""make a list"", ""waiting list"", ""check the list""]","[""catalog"", ""inventory"", ""register"", ""roll""]",[],"{""en"": [""listing"", ""enumerate"", ""checklist""], ""ar"": [""قائمة"", ""يعدد"", ""قائمة مرجعية""]}","{""noun"":""list"",""verb"":""list"",""adj"":""listed""}",قائمة,liste,Liste,lista,清单 (Qīngdān),список,lista,リスト (Risuto),lista,liste,A1_07,CEFR_A1,False
1005,complete,adj,A1,1,1005,3,4,kəmˈpliːt,,كُومْبْلِيت,Kāmil / Muktamil,com•plete,Having all the necessary or appropriate parts; finished.,حاجة خلصانة ومافيهاش أي نقص، كل حتتها موجودة,Can emphasize a noun (a complete disaster).,Actions & Processes,State,"[""#Whole"", ""#Finish"", ""#All"", ""#Perfect""]",Neutral,نفس نطق 'Com-plete'.. 'كوم' 'Come' 'بليت' 'Plate'.. الطبق جه 'Complete' ومليان,"{""A1"": ""The set is complete."", ""A2"": ""I need a complete list of names."", ""B1"": ""It was a complete surprise."", ""B2"": ""The work is now complete."", ""C1"": ""He is a complete stranger to me."", ""C2"": ""The manuscript is complete in every detail.""}","[""complete silence"", ""complete disaster"", ""complete set"", ""complete stranger""]","[""entire"", ""whole"", ""finished"", ""total""]","[""incomplete"", ""partial""]","{""en"": [""completion"", ""completely"", ""finish"", ""total""], ""ar"": [""إكمال"", ""تماماً"", ""إنهاء"", ""كلي""]}","{""noun"": ""completion"", ""verb"": ""complete"", ""adj"": ""complete"", ""adv"": ""completely""}",كامِل / مُكْتَمِل,complet,komplett,completo,完整 (Wánzhěng),полный,completo,完全な (Kanzen na),completo,tamam,A1_09,CEFR_A1,False
989,sea,noun,A1,1,989,3,3,siː,,سِي,Bahr / Al-bahr,,The large expanse of salt water that covers most of the earth's surface.,المية المالحة الكبيرة جداً اللي بنشوفها في المصيف وبتغطي معظم الأرض.,Use 'at sea' to mean on a voyage. Smaller than an 'ocean'.,Objects & Tools,Place,"[""#Water"", ""#Nature"", ""#Geography""]",Neutral,نطقها زي حرف 'C'.. والبحر واسع ومفتوح زي شكل الحرف.,"{""A1"": ""The sea is blue."", ""A2"": ""We swam in the sea."", ""B1"": ""The hotel has a view of the sea."", ""B2"": ""Many creatures live deep in the sea."", ""C1"": ""He was lost at sea for three days."", ""C2"": ""The company is navigating a sea of litigation.""}","[""sea level"", ""deep sea"", ""at sea""]","[""ocean"", ""waters"", ""deep""]","[""land"", ""ground""]","{""en"": [""beach"", ""wave"", ""salt"", ""ship""], ""ar"": [""شاطئ"", ""موجة"", ""ملح"", ""سفينة""]}","{""noun"":""sea"",""adj"":""marine""}",بحر / البحر,mer,Meer,mar,海 (Hǎi),море,mar,海 (Umi),mare,deniz,A1_10,CEFR_A1,False
922,enjoy,verb,A1,1,922,3,5,ɪnˈdʒɔɪ,,إِنْجوي,Yatamatta',en•joy,To take delight or pleasure in something.,يعني تستمتع وتنبسط بحاجة بتعملها.,Reflexive usage is common: 'Enjoy yourself' means 'Have a good time'.,Feelings & Emotions,Emotion,"[""#Fun"", ""#Happy"", ""#Pleasure"", ""#Like""]",Neutral,كلمة 'Enjoy' 'استمتع' جواها كلمة 'Joy' 'فرحة'.. عيش الـ 'Joy' و 'Enjoy'.,"{""A1"": ""I enjoy music."", ""A2"": ""Did you enjoy the party?"", ""B1"": ""He enjoys reading science fiction."", ""B2"": ""She enjoys a good reputation in the community."", ""C1"": ""We thoroughly enjoyed the performance."", ""C2"": ""Citizens enjoy certain rights under the constitution.""}","[""enjoy yourself"", ""enjoy life"", ""really enjoy"", ""thoroughly enjoy""]","[""like"", ""love"", ""relish"", ""appreciate""]","[""hate"", ""dislike""]","{""en"": [""joy"", ""enjoyment"", ""pleasure"", ""fun""], ""ar"": [""فرح"", ""متعة"", ""سرور"", ""مرح""]}","{""noun"": ""enjoyment"", ""verb"": ""enjoy"", ""adj"": ""enjoyable"", ""adv"": ""enjoyably""}",يتمتع,apprécier,genießen,disfrutar,享受 (Xiǎngshòu),наслаждаться,desfrutar,楽しむ (Tanoshimu),godere,zevk almak,A1_09,CEFR_A1,False
4243,homework,noun,A1,1,4243,4,5,ˈhoʊmwɝk,ˈhəʊmwɜːk,هَاوْمْ وِرْك,Wājib manzili,home•work,School work that a student is given to do at home.,الواجب اللي المدرس بيديهولك عشان تحله في البيت.,Uncountable noun (don't say 'homeworks'). Also means preparation/research in general.,Actions & Processes,Action,"[""#School"", ""#Study"", ""#Task""]",Neutral,شغل 'Work' بتعمله في البيت 'Home'.,"{""A1"": ""I do my homework every day."", ""A2"": ""Have you finished your homework?"", ""B1"": ""The teacher gave us a lot of homework."", ""B2"": ""You should do your homework before watching TV."", ""C1"": ""Before the interview, I did my homework on the company."", ""C2"": ""The politician clearly hadn't done his homework on the complex economic issue.""}","[""do homework"", ""finish homework"", ""math homework"", ""assign homework""]","[""assignment"", ""schoolwork"", ""prep""]",[],"{""en"": [""home"", ""work"", ""assignment""], ""ar"": [""مدرسة"", ""دراسة""]}","{""noun"":""homework""}",واجب منزلي,devoirs,Hausaufgaben,tarea / deberes,家庭作业 (Jiātíng zuòyè),домашнее задание,trabalho de casa,宿題 (Shukudai),compiti,ev ödevi,A1_17,CEFR_A1,True
1071,paper,adj,A1,1,1071,3,4,ˈpeɪpər,ˈpeɪpə,بَيْبَر,Waraqī,pa•per,Made of paper or relating to paper materials.,حاجة معمولة من الورق، زي كيس ورق أو طيارة ورق.,"Used as a modifier before nouns (paper bag, paper cup).",Food & Drink,Attribute,"[""#Material"", ""#Office"", ""#Disposable""]",Neutral,كلمة 'Paper' جاية من 'Papyrus' نبات البردي اللي الفراعنة عملوا منه أول ورق.,"{""A1"": ""I need a paper bag."", ""A2"": ""He made a paper plane."", ""B1"": ""We use paper cups for the party."", ""B2"": ""It was a paper victory, meaning nothing in reality."", ""C1"": ""The project exists only on paper."", ""C2"": ""They created a paper trail to hide the money.""}","[""paper bag"", ""paper cup"", ""paper towel"", ""paper money""]","[""cardboard"", ""disposable""]","[""plastic"", ""metal""]","{""en"": [""pulp"", ""sheet"", ""card""], ""ar"": [""ورق"", ""كرتون""]}","{""noun"":""paper"",""verb"":""paper"",""adj"":""paper""}",ورقي,en papier,Papier-,de papel,纸制的 (Zhǐ zhì de),бумажный,de papel,紙の (Kami no),di carta,kağıt,A1_10,CEFR_A1,False
355,job,noun,A1,1,355,3,3,dʒɑb,dʒɒb,جُوب,Wazifa,,A paid position of regular employment.,الشغل اللي بتعمله عشان تاخد فلوس، أو مهمة لازم تخلصها.,'Job' is countable (a job); 'Work' is uncountable (I have work).,Actions & Processes,Action,"[""#Work"", ""#Career"", ""#Money""]",Neutral,كلمة 'Job' قريبة من 'Jib' 'جيب'.. الـ 'Job' هو اللي بيملى الـ 'Jib' فلوس.,"{""A1"": ""I have a new job."", ""A2"": ""She is looking for a job."", ""B1"": ""He lost his job last month."", ""B2"": ""Good job on the presentation!"", ""C1"": ""It's a tough job, but someone has to do it."", ""C2"": ""The job market is very competitive right now.""}","[""full-time job"", ""good job"", ""job interview"", ""apply for a job""]","[""work"", ""occupation"", ""profession"", ""task""]","[""unemployment"", ""hobby""]","{""en"": [""career"", ""employment"", ""profession""], ""ar"": [""مسار مهني"", ""توظيف"", ""مهنة""]}","{""noun"":""job"",""adj"":""jobless""}",وظيفة,emploi,Job,trabajo,工作 (Gōngzuò),работа,emprego,仕事 (Shigoto),lavoro,iş,A1_05,CEFR_A1,True
605,list,verb,A1,1,605,3,4,lɪst,,لِسْت,Yudrij / Yusajjil,,To write names or items in a list.,إنك تكتب حاجات أو أسماء في قائمة عشان تسجلهم.,Can also mean to include something in an official record.,Social Life & Communication,Action,"[""#Recording"", ""#Writing"", ""#Data""]",Neutral,الفعل 'List' معناه تعمل 'List' 'قائمة'.. يعني تسجل الحاجات.,"{""A1"": ""Please list the things we need to buy."", ""A2"": ""The ingredients are listed on the back of the box."", ""B1"": ""He listed all his reasons for leaving the job."", ""B2"": ""The company is listed on the New York Stock Exchange."", ""C1"": ""The sheer number of grievances listed in the complaint was overwhelming."", ""C2"": ""The ship listed heavily to the starboard side after the storm.""}","[""list alphabetically"", ""list below"", ""list prices""]","[""record"", ""register"", ""enumerate"", ""itemise""]",[],"{""en"": [""listing"", ""enlist"", ""record""], ""ar"": [""سجل"", ""أدرج"", ""دون""]}","{""noun"":""list"",""verb"":""list"",""adj"":""listed""}",يُدرج / يسجل,lister,auflisten,listar,列出 (Lièchū),перечислять,listar,リストする (Risuto suru),elencare,listelemek,A1_07,CEFR_A1,False
1451,activity,noun,A1,1,1451,4,4,ækˈtɪ.və.ti,ækˈtɪvɪtɪ,أكْتِيفِتي,Nashāṭ,ac•tiv•i•ty,A situation in which a lot of things are happening or people are moving around.,أي حاجة بتعملها فيها حركة أو شغل.. زي الرياضة أو الشغل أو اللعب.,Often used in plural 'activities' for hobbies or tasks.,Actions & Processes,Action,"[""#Movement"", ""#Energy"", ""#Task""]",Neutral,جاية من 'Active'.. يعني حد كُله حركة و 'Activity'.,"{""A1"": ""Football is a fun activity."", ""A2"": ""There is a lot of activity in the market."", ""B1"": ""Physical activity is good for your health."", ""B2"": ""The police monitored criminal activity in the area."", ""C1"": ""There was a sudden flurry of activity at the stock exchange."", ""C2"": ""Seismic activity was recorded prior to the eruption.""}","[""physical activity"", ""social activity"", ""outdoor activity""]","[""action"", ""movement"", ""pursuit"", ""undertaking""]","[""inactivity"", ""idleness""]","{""en"": [""active"", ""act"", ""action""], ""ar"": [""نشيط"", ""فعل"", ""عمل""]}","{""noun"": ""activity"", ""verb"": ""act"", ""adj"": ""active"", ""adv"": ""actively""}",نَشَاط,activité,Aktivität,actividad,活动 (Huódòng),деятельность,atividade,活動 (Katsudō),attività,aktivite,A1_12,CEFR_A1,True
154,last,verb,A2,1,154,3,4,læst,lɑːst,لَاسْت,Yastamirr / Yadūm,,To continue for a specified period of time.,يعني 'يستمر' أو 'يفضل موجود' لفترة معينة.,Focuses on duration or endurance.,"Numbers, Time & Math",Time,"[""#Duration"", ""#Endurance"", ""#Time""]",Neutral,الـ 'Elastic' 'أستيك' بيفضل يمط و 'Last' 'يستمر' معاك فترة طويلة.,"{""A1"": ""The movie lasts two hours."", ""A2"": ""The meeting didn't last long."", ""B1"": ""Good shoes last a long time."", ""B2"": ""The food will last for three days."", ""C1"": ""The joy of the victory did not last."", ""C2"": ""These impressions last a lifetime.""}","[""last long"", ""last forever"", ""built to last""]","[""continue"", ""endure"", ""persist""]","[""end"", ""stop""]","{""en"": [""duration"", ""continuance""], ""ar"": [""مدة"", ""استمرار""]}","{""noun"": ""last"", ""verb"": ""last"", ""adj"": ""last"", ""adv"": ""lastly""}",يَسْتَمِرّ / يَدُوم,durer,dauern,durar,持续 (Chí xù),длиться,durar,続く (Tsuzuku),durare,sürmek,A2_01,CEFR_A2,False
913,view,noun,A2,1,913,3,3,vjuː,,فْيُو,Manzar / Ra'y,,"What you can see from a place, or an opinion about something.",المنظر اللي بتشوفه من مكان معين، أو رأيك ووجهة نظرك في موضوع.,'Point of view' means opinion. 'In view of' means considering.,Mind & Thinking,Place,"[""#Sight"", ""#Opinion"", ""#Perspective"", ""#Scenery""]",Neutral,كلمة 'View' بنستخدمها في العامية 'فيو'.. الـ 'View' من البلكونة حلو، وكمان الـ 'View' 'الرأي' بتاعك يحترم.,"{""A1"": ""The room has a nice view."", ""A2"": ""I love the view of the sea."", ""B1"": ""In my view, this is wrong."", ""B2"": ""The mountain came into view."", ""C1"": ""He holds strong political views."", ""C2"": ""In view of the facts, we must act.""}","[""point of view"", ""in my view"", ""beautiful view"", ""bird's eye view""]","[""sight"", ""scene"", ""opinion"", ""perspective""]",[],"{""en"": [""look"", ""see"", ""opinion"", ""landscape""], ""ar"": [""نظرة"", ""رؤية"", ""مشهد"", ""رأي""]}","{""noun"":""view"",""verb"":""view"",""adj"":""viewable""}",منظر / رأي,vue,Aussicht,vista,景色 (Jǐngsè),вид,vista,景色 (Keshiki),vista,manzara,A2_04,CEFR_A2,False
1271,figure,noun,A2,1,1271,3,4,ˈfɪɡjər,ˈfɪɡə,فِيجَر,Raqam / Shakl,fig•ure,"A number, especially one in official statistics, or a person's bodily shape.",بتيجي بمعنى رَقَم في إحصائية، أو شكل الجسم، وساعات بمعنى شخصية مشهورة.,Context determines meaning: 'Sales figures' (numbers) vs 'Good figure' (body shape).,Social Life & Communication,Quantity,"[""#Math"", ""#Body"", ""#Statistics""]",Neutral,كلمة 'Figure' قريبة من 'Finger' 'صُباع'.. بنعد الـ 'Figures' 'الأرقام' على الـ 'Fingers'.,"{""A1"": ""Write the figure 5 on the paper."", ""A2"": ""She has a nice figure."", ""B1"": ""The unemployment figures are high this year."", ""B2"": ""He is a key figure in the government."", ""C1"": ""The figure of speech was lost in translation."", ""C2"": ""Her salary is in the six-figure range.""}","[""key figure"", ""sales figures"", ""good figure""]","[""number"", ""digit"", ""shape"", ""physique""]",[],"{""en"": [""figurative"", ""configuration"", ""digit""], ""ar"": [""مجازي"", ""تكوين"", ""خانة""]}","{""noun"": ""figure"", ""verb"": ""figure"", ""adj"": ""figurative"", ""adv"": ""figuratively""}",رَقَم / شَكْل,chiffre,Zahl,cifra,数字 (Shùzì),цифра,figura,数字 (Sūji),figura,rakam,A2_06,CEFR_A2,False
